Sample ID,Sample Details,Test,Results,Units,Absorbance,QC Pro result,Operator,Man Dil Factor,Auto Dil Factor,Date and Time
6.12.pre.a,,Nitrate 5 KCl,  0.708,mg N/L,0.064477, ,,1,1,2019-07-22 18:25:14
6.12.pre.a,,Ammonia 10 KCl,  0.509,mg N/L,0.047206, ,,1,1,2019-07-22 13:44:34
6.12.post.a,,Nitrate 5 KCl,  4.942,mg N/L,0.463566, ,,1,1,2019-07-22 18:27:33
6.12.post.a,,Ammonia 10 KCl,  0.305,mg N/L,0.028757, ,,1,1,2019-07-22 13:46:49
3.06.pre.a,,Nitrate 5 KCl,  0.060,mg N/L,0.003396, ,,1,1,2019-07-22 18:29:51
3.06.pre.a,,Ammonia 10 KCl,  0.347,mg N/L,0.032594, ,,1,1,2019-07-22 13:49:03
3.06.post.a,,Nitrate 5 KCl,  0.050,mg N/L,0.002443, ,,1,1,2019-07-22 18:32:09
3.06.post.a,,Ammonia 10 KCl,  4.557,mg N/L,0.412739, ,,1,1,2019-07-22 13:51:15
KCl blank 2 k,,Nitrate 5 KCl,  0.036,mg N/L,0.001075, ,,1,1,2019-07-22 18:34:28
KCl blank 2 k,,Ammonia 10 KCl,  0.264,mg N/L,0.025067, ,,1,1,2019-07-22 13:53:27
100.72.pre.b,,Nitrate 5 KCl,  0.591,mg N/L,0.053389, ,,1,1,2019-07-22 18:36:46
100.72.pre.b,,Ammonia 10 KCl,  1.071,mg N/L,0.097956, ,,1,1,2019-07-22 13:55:40
CCV,,Nitrate 5 KCl,  4.853,mg N/L,0.455195,0.00,,1,1,2019-07-22 18:39:04
CCB,,Nitrate 5 KCl,  0.064,mg N/L,0.003743,0.00,,1,1,2019-07-22 18:41:25
100.72.post.b,,Nitrate 5 KCl,  8.172,mg N/L,0.252908, ,,1,3.02,2019-07-22 20:25:48
100.72.post.b,,Ammonia 10 KCl,  0.397,mg N/L,0.037132, ,,1,1,2019-07-22 13:57:52
58.66.pre.b,,Nitrate 5 KCl,  0.038,mg N/L,0.001301, ,,1,1,2019-07-22 18:46:05
58.66.pre.b,,Ammonia 10 KCl,  1.592,mg N/L,0.144968, ,,1,1,2019-07-22 14:00:04
CCV,,Ammonia 10 KCl,  9.692,mg N/L,0.876375,0.00,,1,1,2019-07-22 14:02:17
CCB,,Ammonia 10 KCl,  0.005,mg N/L,0.001713,0.00,,1,1,2019-07-22 14:04:30
58.66.post.b,,Nitrate 5 KCl,  0.654,mg N/L,0.059405, ,,1,1,2019-07-22 18:48:23
58.66.post.b,,Ammonia 10 KCl,  4.241,mg N/L,0.384217, ,,1,1,2019-07-22 14:06:43
50.60.pre.b,,Nitrate 5 KCl,  0.032,mg N/L,0.000762, ,,1,1,2019-07-22 18:50:41
50.60.pre.b,,Ammonia 10 KCl,  0.490,mg N/L,0.045498, ,,1,1,2019-07-22 14:08:56
50.60.post.b,,Nitrate 5 KCl,  0.033,mg N/L,0.000867, ,,1,1,2019-07-22 18:52:59
50.60.post.b,,Ammonia 10 KCl,  2.228,mg N/L,0.202468, ,,1,1,2019-07-22 14:11:09
41.54.pre.b,,Nitrate 5 KCl,  0.390,mg N/L,0.034454, ,,1,1,2019-07-22 18:55:18
41.54.pre.b,,Ammonia 10 KCl,  1.650,mg N/L,0.150222, ,,1,1,2019-07-22 14:13:23
41.54.post.b,,Nitrate 5 KCl,  9.093,mg N/L,0.281663, ,,1,3.02,2019-07-22 20:26:45
41.54.post.b,,Ammonia 10 KCl,  1.551,mg N/L,0.141307, ,,1,1,2019-07-22 14:15:37
31.48.pre.b,,Nitrate 5 KCl,  0.048,mg N/L,0.002219, ,,1,1,2019-07-22 18:59:53
31.48.pre.b,,Ammonia 10 KCl,  0.797,mg N/L,0.073207, ,,1,1,2019-07-22 14:17:50
31.48.post.b,,Nitrate 5 KCl,  0.065,mg N/L,0.003880, ,,1,1,2019-07-22 19:02:12
31.48.post.b,,Ammonia 10 KCl,  3.678,mg N/L,0.333394, ,,1,1,2019-07-22 14:20:03
24.42.pre.b,,Nitrate 5 KCl,  1.317,mg N/L,0.121912, ,,1,1,2019-07-22 19:04:30
24.42.pre.b,,Ammonia 10 KCl,  1.191,mg N/L,0.108841, ,,1,1,2019-07-22 14:22:16
CCV,,Nitrate 5 KCl,  4.846,mg N/L,0.454541,0.00,,1,1,2019-07-22 19:06:48
CCB,,Nitrate 5 KCl,  0.060,mg N/L,0.003364,0.00,,1,1,2019-07-22 19:09:10
24.42.post.b,,Nitrate 5 KCl,  8.333,mg N/L,0.257947, ,,1,3.02,2019-07-22 20:27:41
24.42.post.b,,Ammonia 10 KCl,  0.462,mg N/L,0.043003, ,,1,1,2019-07-22 14:24:29
KCl blank 1 l,,Nitrate 5 KCl,  0.074,mg N/L,0.004708, ,,1,1,2019-07-22 19:13:50
KCl blank 1 l,,Ammonia 10 KCl,  0.461,mg N/L,0.042928, ,,1,1,2019-07-22 14:26:42
CCV,,Ammonia 10 KCl, 10.112,mg N/L,0.914310,0.00,,1,1,2019-07-22 14:28:55
CCB,,Ammonia 10 KCl,  0.047,mg N/L,0.005465,0.00,,1,1,2019-07-22 14:31:09
22.36.pre.b,,Nitrate 5 KCl,  1.650,mg N/L,0.153223, ,,1,1,2019-07-22 19:16:08
22.36.pre.b,,Ammonia 10 KCl,  1.300,mg N/L,0.118663, ,,1,1,2019-07-22 14:33:24
22.36.post.b,,Nitrate 5 KCl,  9.423,mg N/L,0.291956, ,,1,3.02,2019-07-22 20:28:38
22.36.post.b,,Ammonia 10 KCl,  0.542,mg N/L,0.050163, ,,1,1,2019-07-22 14:35:37
20.30.pre.b,,Nitrate 5 KCl,  0.085,mg N/L,0.005747, ,,1,1,2019-07-22 19:20:44
20.30.pre.b,,Ammonia 10 KCl,  0.655,mg N/L,0.060425, ,,1,1,2019-07-22 14:37:51
20.30.post.b,,Nitrate 5 KCl,  0.069,mg N/L,0.004246, ,,1,1,2019-07-22 19:23:03
20.30.post.b,,Ammonia 10 KCl,  2.574,mg N/L,0.233684, ,,1,1,2019-07-22 14:40:05
9.24.pre.b,,Nitrate 5 KCl,  0.073,mg N/L,0.004627, ,,1,1,2019-07-22 19:25:23
9.24.pre.b,,Ammonia 10 KCl,  2.174,mg N/L,0.197540, ,,1,1,2019-07-22 14:42:19
9.24.post.b,,Nitrate 5 KCl,  0.352,mg N/L,0.030926, ,,1,1,2019-07-22 19:27:44
9.24.post.b,,Ammonia 10 KCl,  7.073,mg N/L,0.639923, ,,1,1,2019-07-22 14:44:33
7.18.pre.b,,Nitrate 5 KCl,  0.056,mg N/L,0.002960, ,,1,1,2019-07-22 19:28:52
7.18.pre.b,,Ammonia 10 KCl,  1.617,mg N/L,0.147266, ,,1,1,2019-07-22 14:46:46
7.18.post.b,,Nitrate 5 KCl,  1.739,mg N/L,0.161673, ,,1,1,2019-07-22 19:29:49
7.18.post.b,,Ammonia 10 KCl,  5.292,mg N/L,0.479079, ,,1,1,2019-07-22 14:48:59
CCV,,Nitrate 5 KCl,  4.923,mg N/L,0.461793,0.00,,1,1,2019-07-22 19:30:46
CCB,,Nitrate 5 KCl,  0.047,mg N/L,0.002113,0.00,,1,1,2019-07-22 19:31:43
6.12.pre.b,,Nitrate 5 KCl,  0.678,mg N/L,0.061588, ,,1,1,2019-07-22 19:32:41
6.12.pre.b,,Ammonia 10 KCl,  0.536,mg N/L,0.049640, ,,1,1,2019-07-22 14:51:13
6.12.post.b,,Nitrate 5 KCl,  5.056,mg N/L,0.474333, ,,1,1,2019-07-22 19:33:38
6.12.post.b,,Ammonia 10 KCl,  0.406,mg N/L,0.037948, ,,1,1,2019-07-22 14:53:27
CCV,,Ammonia 10 KCl,  9.983,mg N/L,0.902663,0.00,,1,1,2019-07-22 14:55:06
CCB,,Ammonia 10 KCl,  0.032,mg N/L,0.004129,0.00,,1,1,2019-07-22 14:57:03
3.06.pre.b,,Nitrate 5 KCl,  0.034,mg N/L,0.000963, ,,1,1,2019-07-22 19:34:35
3.06.pre.b,,Ammonia 10 KCl,  0.442,mg N/L,0.041151, ,,1,1,2019-07-22 14:58:51
3.06.post.b,,Nitrate 5 KCl,  0.025,mg N/L,0.000072, ,,1,1,2019-07-22 19:35:31
3.06.post.b,,Ammonia 10 KCl,  4.694,mg N/L,0.425153, ,,1,1,2019-07-22 15:00:38
KCl blank 2 l,,Nitrate 5 KCl,  0.025,mg N/L,0.000096, ,,1,1,2019-07-22 19:36:28
KCl blank 2 l,,Ammonia 10 KCl,  0.194,mg N/L,0.018813, ,,1,1,2019-07-22 15:02:24
CCV,,Nitrate 5 KCl,  4.765,mg N/L,0.446874,0.00,,1,1,2019-07-22 19:37:24
CCV,,Ammonia 10 KCl,  9.436,mg N/L,0.853248,0.00,,1,1,2019-07-22 15:04:11
CCB,,Nitrate 5 KCl,  0.029,mg N/L,0.000449,0.00,,1,1,2019-07-22 19:38:22
CCB,,Ammonia 10 KCl,  0.043,mg N/L,0.005101,0.00,,1,1,2019-07-22 15:05:59
