Sample ID,Sample Details,Test,Results,Units,Absorbance,QC Pro result,Operator,Man Dil Factor,Auto Dil Factor,Date and Time
31.44.pre.a,,Ammonia 10 KCl,  0.745,mg N/L,0.092991, ,WA,1,1,2019-07-16 12:27:41
31.44.post.a,,Nitrate 5 KCl, -0.053,mg N/L,0.001534, ,WA,1,1,2019-07-16 15:52:08
31.44.post.a,,Ammonia 10 KCl,  4.107,mg N/L,0.396706, ,WA,1,1,2019-07-16 12:29:55
41.50.pre.a,,Nitrate 5 KCl,  0.602,mg N/L,0.059586, ,WA,1,1,2019-07-16 15:54:27
41.50.pre.a,,Ammonia 10 KCl,  0.673,mg N/L,0.086505, ,WA,1,1,2019-07-16 12:32:08
41.50.post.a,,Nitrate 5 KCl,  6.977,mg N/L,0.210902, ,WA,1.00,3.02,2019-07-16 20:03:25
41.50.post.a,,Ammonia 10 KCl,  0.290,mg N/L,0.051886, ,WA,1,1,2019-07-16 12:34:21
50.56.pre.a,,Nitrate 5 KCl, -0.049,mg N/L,0.001929, ,WA,1,1,2019-07-16 15:59:06
50.56.pre.a,,Ammonia 10 KCl,  0.711,mg N/L,0.089963, ,WA,1,1,2019-07-16 12:36:35
CCV,,Nitrate 5 KCl,  4.936,mg N/L,0.443350,0.00,WA,1,1,2019-07-16 16:01:25
CCB,,Nitrate 5 KCl, -0.046,mg N/L,0.002162,0.00,WA,1,1,2019-07-16 16:03:46
50.56.post.a,,Nitrate 5 KCl, -0.035,mg N/L,0.003106, ,WA,1,1,2019-07-16 16:06:07
50.56.post.a,,Ammonia 10 KCl,  2.557,mg N/L,0.256668, ,WA,1,1,2019-07-16 12:38:48
58.62.pre.a,,Nitrate 5 KCl, -0.041,mg N/L,0.002598, ,WA,1,1,2019-07-16 16:08:26
58.62.pre.a,,Ammonia 10 KCl,  0.735,mg N/L,0.092088, ,WA,1,1,2019-07-16 12:41:01
CCV,,Ammonia 10 KCl,  9.871,mg N/L,0.917487,0.00,WA,1,1,2019-07-16 12:43:15
CCB,,Ammonia 10 KCl, -0.091,mg N/L,0.017476,0.00,WA,1,1,2019-07-16 12:45:28
58.62.post.a,,Nitrate 5 KCl,  0.056,mg N/L,0.011200, ,WA,1,1,2019-07-16 16:10:45
58.62.post.a,,Ammonia 10 KCl,  3.875,mg N/L,0.375794, ,WA,1,1,2019-07-16 12:47:41
100.68.pre.a,,Nitrate 5 KCl,  0.576,mg N/L,0.057263, ,WA,1,1,2019-07-16 16:13:05
100.68.pre.a,,Ammonia 10 KCl,  0.861,mg N/L,0.103498, ,WA,1,1,2019-07-16 12:49:53
100.68.post.a,,Nitrate 5 KCl, 10.492,mg N/L,0.314016, ,WA,1,3.02,2019-07-16 19:25:33
100.68.post.a,,Ammonia 10 KCl,  0.277,mg N/L,0.050681, ,WA,1,1,2019-07-16 12:52:06
KCl blank 1 c,,Nitrate 5 KCl, -0.032,mg N/L,0.003414, ,WA,1,1,2019-07-16 16:17:43
KCl blank 1 c,,Ammonia 10 KCl,  0.328,mg N/L,0.055299, ,WA,1,1,2019-07-16 12:54:20
3.02.pre.a,,Nitrate 5 KCl, -0.010,mg N/L,0.005325, ,WA,1,1,2019-07-16 16:20:01
3.02.pre.a,,Ammonia 10 KCl,  0.383,mg N/L,0.060302, ,WA,1,1,2019-07-16 12:56:35
3.02.post.a,,Nitrate 5 KCl, -0.049,mg N/L,0.001856, ,WA,1,1,2019-07-16 16:22:20
3.02.post.a,,Ammonia 10 KCl,  3.920,mg N/L,0.379859, ,WA,1,1,2019-07-16 12:58:47
6.08.pre.a,,Nitrate 5 KCl,  0.276,mg N/L,0.030704, ,WA,1,1,2019-07-16 16:24:39
6.08.pre.a,,Ammonia 10 KCl,  0.912,mg N/L,0.108092, ,WA,1,1,2019-07-16 13:01:00
6.08.post.a,,Nitrate 5 KCl,  6.179,mg N/L,0.187476, ,WA,1,3.02,2019-07-16 19:26:30
6.08.post.a,,Ammonia 10 KCl,  0.242,mg N/L,0.047531, ,WA,1,1,2019-07-16 13:03:12
CCV,,Nitrate 5 KCl,  5.318,mg N/L,0.477129,0.00,WA,1,1,2019-07-16 16:29:16
CCB,,Nitrate 5 KCl, -0.025,mg N/L,0.004003,0.00,WA,1,1,2019-07-16 16:31:37
7.14.pre.a,,Nitrate 5 KCl, -0.035,mg N/L,0.003163, ,WA,1,1,2019-07-16 16:33:59
7.14.pre.a,,Ammonia 10 KCl,  1.197,mg N/L,0.133844, ,WA,1,1,2019-07-16 13:05:24
7.14.post.a,,Nitrate 5 KCl,  2.295,mg N/L,0.209480, ,WA,1,1,2019-07-16 16:36:17
7.14.post.a,,Ammonia 10 KCl,  4.770,mg N/L,0.456657, ,WA,1,1,2019-07-16 13:07:36
CCV,,Ammonia 10 KCl, 10.022,mg N/L,0.931140,0.00,WA,1,1,2019-07-16 13:09:48
CCB,,Ammonia 10 KCl, -0.085,mg N/L,0.017993,0.00,WA,1,1,2019-07-16 13:12:01
9.20.pre.a,,Nitrate 5 KCl,  0.123,mg N/L,0.017146, ,WA,1,1,2019-07-16 16:38:36
9.20.pre.a,,Ammonia 10 KCl,  1.770,mg N/L,0.185591, ,WA,1,1,2019-07-16 13:14:13
9.20.post.a,,Nitrate 5 KCl,  8.105,mg N/L,0.243987, ,WA,1,3.02,2019-07-16 19:27:27
9.20.post.a,,Ammonia 10 KCl,  0.501,mg N/L,0.070954, ,WA,1,1,2019-07-16 13:16:26
20.26.pre.a,,Nitrate 5 KCl, -0.024,mg N/L,0.004141, ,WA,1,1,2019-07-16 16:43:13
20.26.pre.a,,Ammonia 10 KCl,  0.354,mg N/L,0.057682, ,WA,1,1,2019-07-16 13:18:38
20.26.post.a,,Nitrate 5 KCl,  0.009,mg N/L,0.007014, ,WA,1,1,2019-07-16 16:45:31
20.26.post.a,,Ammonia 10 KCl,  2.391,mg N/L,0.241726, ,WA,1,1,2019-07-16 13:20:52
22.32.pre.a,,Nitrate 5 KCl,  1.122,mg N/L,0.105634, ,WA,1,1,2019-07-16 16:47:50
22.32.pre.a,,Ammonia 10 KCl,  1.359,mg N/L,0.148472, ,WA,1,1,2019-07-16 13:23:06
22.32.post.a,,Nitrate 5 KCl, 11.515,mg N/L,0.344007, ,WA,1,3.02,2019-07-16 19:28:23
22.32.post.a,,Ammonia 10 KCl,  0.351,mg N/L,0.057349, ,WA,1,1,2019-07-16 13:25:18
KCl blank 2 c,,Nitrate 5 KCl, -0.000,mg N/L,0.006227, ,WA,1,1,2019-07-16 16:52:26
KCl blank 2 c,,Ammonia 10 KCl,  0.129,mg N/L,0.037358, ,WA,1,1,2019-07-16 13:27:30
24.38.pre.b,,Nitrate 5 KCl,  0.852,mg N/L,0.081721, ,WA,1,1,2019-07-16 16:54:44
24.38.pre.b,,Ammonia 10 KCl,  2.501,mg N/L,0.251671, ,WA,1,1,2019-07-16 13:29:42
CCV,,Nitrate 5 KCl,  5.620,mg N/L,0.503898,0.00,WA,1,1,2019-07-16 16:57:03
CCB,,Nitrate 5 KCl, -0.011,mg N/L,0.005276,0.00,WA,1,1,2019-07-16 16:59:24
24.38.post.b,,Nitrate 5 KCl, 12.862,mg N/L,0.383537, ,WA,1,3.02,2019-07-16 19:29:20
24.38.post.b,,Ammonia 10 KCl,  1.050,mg N/L,0.120552, ,WA,1,1,2019-07-16 13:31:54
31.44.pre.b,,Nitrate 5 KCl, -0.009,mg N/L,0.005480, ,WA,1,1,2019-07-16 17:04:04
31.44.pre.b,,Ammonia 10 KCl,  0.738,mg N/L,0.092316, ,WA,1,1,2019-07-16 13:34:06
CCV,,Ammonia 10 KCl,  9.811,mg N/L,0.912128,0.00,WA,1,1,2019-07-16 13:36:19
CCB,,Ammonia 10 KCl, -0.128,mg N/L,0.014155,0.00,WA,1,1,2019-07-16 13:38:32
31.44.post.b,,Nitrate 5 KCl, -0.027,mg N/L,0.003874, ,WA,1,1,2019-07-16 17:06:22
31.44.post.b,,Ammonia 10 KCl,  4.104,mg N/L,0.396463, ,WA,1,1,2019-07-16 13:40:45
41.50.pre.b,,Nitrate 5 KCl,  0.607,mg N/L,0.059947, ,WA,1,1,2019-07-16 17:08:40
41.50.pre.b,,Ammonia 10 KCl,  0.709,mg N/L,0.089700, ,WA,1,1,2019-07-16 13:42:58
41.50.post.b,,Nitrate 5 KCl,  6.908,mg N/L,0.208868, ,WA,1,3.02,2019-07-16 19:30:16
41.50.post.b,,Ammonia 10 KCl,  0.322,mg N/L,0.054813, ,WA,1,1,2019-07-16 13:45:11
50.56.pre.b,,Nitrate 5 KCl, -0.015,mg N/L,0.004911, ,WA,1,1,2019-07-16 17:13:16
50.56.pre.b,,Ammonia 10 KCl,  0.692,mg N/L,0.088159, ,WA,1,1,2019-07-16 13:47:25
50.56.post.b,,Nitrate 5 KCl, -0.035,mg N/L,0.003155, ,WA,1,1,2019-07-16 17:15:35
50.56.post.b,,Ammonia 10 KCl,  2.564,mg N/L,0.257302, ,WA,1,1,2019-07-16 13:49:39
58.62.pre.b,,Nitrate 5 KCl, -0.021,mg N/L,0.004368, ,WA,1,1,2019-07-16 17:17:53
58.62.pre.b,,Ammonia 10 KCl,  0.752,mg N/L,0.093667, ,WA,1,1,2019-07-16 13:51:52
58.62.post.b,,Nitrate 5 KCl,  0.072,mg N/L,0.012578, ,WA,1,1,2019-07-16 17:20:11
58.62.post.b,,Ammonia 10 KCl,  3.847,mg N/L,0.373281, ,WA,1,1,2019-07-16 13:54:04
100.68.pre.b,,Nitrate 5 KCl,  0.603,mg N/L,0.059617, ,WA,1,1,2019-07-16 17:22:29
100.68.pre.b,,Ammonia 10 KCl,  0.876,mg N/L,0.104871, ,WA,1,1,2019-07-16 13:56:17
CCV,,Nitrate 5 KCl,  5.093,mg N/L,0.457278,0.00,WA,1,1,2019-07-16 17:24:48
CCB,,Nitrate 5 KCl, -0.051,mg N/L,0.001703,0.00,WA,1,1,2019-07-16 17:27:09
100.68.post.b,,Nitrate 5 KCl, 10.424,mg N/L,0.311998, ,WA,1,3.02,2019-07-16 19:31:13
100.68.post.b,,Ammonia 10 KCl,  0.322,mg N/L,0.054758, ,WA,1,1,2019-07-16 13:58:30
KCl blank 1 d,,Nitrate 5 KCl, -0.021,mg N/L,0.004346, ,WA,1,1,2019-07-16 17:31:49
KCl blank 1 d,,Ammonia 10 KCl,  0.347,mg N/L,0.057049, ,WA,1,1,2019-07-16 14:00:43
CCV,,Ammonia 10 KCl,  9.958,mg N/L,0.925365,0.00,WA,1,1,2019-07-16 14:02:56
CCB,,Ammonia 10 KCl, -0.115,mg N/L,0.015293,0.00,WA,1,1,2019-07-16 14:05:10
3.02.pre.b,,Nitrate 5 KCl, -0.044,mg N/L,0.002340, ,WA,1,1,2019-07-16 17:34:07
3.02.pre.b,,Ammonia 10 KCl,  0.397,mg N/L,0.061534, ,WA,1,1,2019-07-16 14:07:24
3.02.post.b,,Nitrate 5 KCl, -0.043,mg N/L,0.002429, ,WA,1,1,2019-07-16 17:36:25
3.02.post.b,,Ammonia 10 KCl,  4.017,mg N/L,0.388653, ,WA,1,1,2019-07-16 14:09:37
6.08.pre.b,,Nitrate 5 KCl,  0.307,mg N/L,0.033447, ,WA,1,1,2019-07-16 17:38:44
6.08.pre.b,,Ammonia 10 KCl,  0.965,mg N/L,0.112849, ,WA,1,1,2019-07-16 14:11:51
6.08.post.b,,Nitrate 5 KCl,  6.652,mg N/L,0.201377, ,WA,1,3.02,2019-07-16 20:04:22
6.08.post.b,,Ammonia 10 KCl,  0.237,mg N/L,0.047076, ,WA,1,1,2019-07-16 14:14:05
7.14.pre.b,,Nitrate 5 KCl, -0.042,mg N/L,0.002495, ,WA,1,1,2019-07-16 18:32:55
7.14.pre.b,,Ammonia 10 KCl,  1.236,mg N/L,0.137328, ,WA,1,1,2019-07-16 14:16:19
7.14.post.b,,Nitrate 5 KCl,  2.354,mg N/L,0.214698, ,WA,1,1,2019-07-16 18:35:15
7.14.post.b,,Ammonia 10 KCl,  4.822,mg N/L,0.461334, ,WA,1,1,2019-07-16 14:18:32
9.20.pre.b,,Nitrate 5 KCl,  0.070,mg N/L,0.012468, ,WA,1,1,2019-07-16 18:36:24
9.20.pre.b,,Ammonia 10 KCl,  1.731,mg N/L,0.182069, ,WA,1,1,2019-07-16 14:20:45
9.20.post.b,,Nitrate 5 KCl,  7.707,mg N/L,0.232309, ,WA,1,3.02,2019-07-16 20:05:18
9.20.post.b,,Ammonia 10 KCl,  0.509,mg N/L,0.071677, ,WA,1,1,2019-07-16 14:22:58
CCV,,Nitrate 5 KCl,  4.929,mg N/L,0.442742,0.00,WA,1,1,2019-07-16 18:38:17
CCB,,Nitrate 5 KCl, -0.055,mg N/L,0.001374,0.00,WA,1,1,2019-07-16 18:39:15
20.26.pre.b,,Nitrate 5 KCl, -0.058,mg N/L,0.001125, ,WA,1,1,2019-07-16 18:40:13
20.26.pre.b,,Ammonia 10 KCl,  0.310,mg N/L,0.053677, ,WA,1,1,2019-07-16 14:25:12
20.26.post.b,,Nitrate 5 KCl, -0.033,mg N/L,0.003269, ,WA,1,1,2019-07-16 18:41:09
20.26.post.b,,Ammonia 10 KCl,  2.373,mg N/L,0.240082, ,WA,1,1,2019-07-16 14:27:26
CCV,,Ammonia 10 KCl,  9.692,mg N/L,0.901371,0.00,WA,1,1,2019-07-16 14:29:25
CCB,,Ammonia 10 KCl, -0.124,mg N/L,0.014518,0.00,WA,1,1,2019-07-16 14:31:13
22.32.pre.a,,Nitrate 5 KCl,  1.126,mg N/L,0.105918, ,WA,1,1,2019-07-16 18:42:06
22.32.pre.a,,Ammonia 10 KCl,  1.306,mg N/L,0.143677, ,WA,1,1,2019-07-16 14:33:01
22.32.post.b,,Nitrate 5 KCl, 10.509,mg N/L,0.314498, ,WA,1,3.02,2019-07-16 20:06:15
22.32.post.b,,Ammonia 10 KCl,  0.342,mg N/L,0.056616, ,WA,1,1,2019-07-16 14:34:48
KCl blank 2 d,,Nitrate 5 KCl, -0.048,mg N/L,0.002002, ,WA,1,1,2019-07-16 18:43:59
KCl blank 2 d,,Ammonia 10 KCl,  0.119,mg N/L,0.036447, ,WA,1,1,2019-07-16 14:36:34
CCV,,Nitrate 5 KCl,  4.957,mg N/L,0.445210,0.00,WA,1,1,2019-07-16 18:44:56
CCV,,Ammonia 10 KCl,  9.616,mg N/L,0.894446,0.00,WA,1,1,2019-07-16 14:38:21
CCB,,Nitrate 5 KCl, -0.055,mg N/L,0.001381,0.00,WA,1,1,2019-07-16 18:45:54
CCB,,Ammonia 10 KCl, -0.132,mg N/L,0.013723,0.00,WA,1,1,2019-07-16 14:40:09
