OBSERVATION	DATE.TIME	DATE	TIME	AM.PM	TEMP	VWC	NUM.OBS	STAND	JULIAN
144	06/04/19 01:51:17 PM	2019-06-04	01:51:17	PM	13.04	0.2589	24	Stand_3	155
145	06/04/19 02:51:17 PM	2019-06-04	02:51:17	PM	13.497	0.2585	24	Stand_3	155
146	06/04/19 03:51:17 PM	2019-06-04	03:51:17	PM	13.93	0.2579	24	Stand_3	155
147	06/04/19 04:51:17 PM	2019-06-04	04:51:17	PM	14.122	0.2582	24	Stand_3	155
148	06/04/19 05:51:17 PM	2019-06-04	05:51:17	PM	14.337	0.2579	24	Stand_3	155
149	06/04/19 06:51:17 PM	2019-06-04	06:51:17	PM	14.361	0.2582	24	Stand_3	155
150	06/04/19 07:51:17 PM	2019-06-04	07:51:17	PM	14.314	0.2575	24	Stand_3	155
151	06/04/19 08:51:17 PM	2019-06-04	08:51:17	PM	14.218	0.2575	24	Stand_3	155
152	06/04/19 09:51:17 PM	2019-06-04	09:51:17	PM	14.122	0.2575	24	Stand_3	155
153	06/04/19 10:51:17 PM	2019-06-04	10:51:17	PM	14.05	0.2571	24	Stand_3	155
154	06/04/19 11:51:17 PM	2019-06-04	11:51:17	PM	13.978	0.2571	24	Stand_3	155
155	06/05/19 12:51:17 AM	2019-06-05	12:51:17	AM	13.906	0.2564	24	Stand_3	156
156	06/05/19 01:51:17 AM	2019-06-05	01:51:17	AM	13.858	0.2571	24	Stand_3	156
157	06/05/19 02:51:17 AM	2019-06-05	02:51:17	AM	13.81	0.2567	24	Stand_3	156
158	06/05/19 03:51:17 AM	2019-06-05	03:51:17	AM	13.762	0.2557	24	Stand_3	156
159	06/05/19 04:51:17 AM	2019-06-05	04:51:17	AM	13.762	0.2642	24	Stand_3	156
160	06/05/19 05:51:17 AM	2019-06-05	05:51:17	AM	13.714	0.2639	24	Stand_3	156
161	06/05/19 06:51:17 AM	2019-06-05	06:51:17	AM	13.69	0.2632	24	Stand_3	156
162	06/05/19 07:51:17 AM	2019-06-05	07:51:17	AM	13.714	0.2628	24	Stand_3	156
163	06/05/19 08:51:17 AM	2019-06-05	08:51:17	AM	13.834	0.2621	24	Stand_3	156
164	06/05/19 09:51:17 AM	2019-06-05	09:51:17	AM	13.954	0.2618	24	Stand_3	156
165	06/05/19 10:51:17 AM	2019-06-05	10:51:17	AM	14.074	0.2618	24	Stand_3	156
166	06/05/19 11:51:17 AM	2019-06-05	11:51:17	AM	14.266	0.2611	24	Stand_3	156
167	06/05/19 12:51:17 PM	2019-06-05	12:51:17	PM	14.266	0.2611	24	Stand_3	156
168	06/05/19 01:51:17 PM	2019-06-05	01:51:17	PM	14.218	0.2607	24	Stand_3	156
169	06/05/19 02:51:17 PM	2019-06-05	02:51:17	PM	14.601	0.26	24	Stand_3	156
170	06/05/19 03:51:17 PM	2019-06-05	03:51:17	PM	14.912	0.2596	24	Stand_3	156
171	06/05/19 04:51:17 PM	2019-06-05	04:51:17	PM	15.079	0.2596	24	Stand_3	156
172	06/05/19 05:51:17 PM	2019-06-05	05:51:17	PM	15.151	0.2592	24	Stand_3	156
173	06/05/19 06:51:17 PM	2019-06-05	06:51:17	PM	15.127	0.2589	24	Stand_3	156
174	06/05/19 07:51:17 PM	2019-06-05	07:51:17	PM	15.079	0.2589	24	Stand_3	156
175	06/05/19 08:51:17 PM	2019-06-05	08:51:17	PM	14.936	0.2585	24	Stand_3	156
176	06/05/19 09:51:17 PM	2019-06-05	09:51:17	PM	14.768	0.2582	24	Stand_3	156
177	06/05/19 10:51:17 PM	2019-06-05	10:51:17	PM	14.577	0.2579	24	Stand_3	156
178	06/05/19 11:51:17 PM	2019-06-05	11:51:17	PM	14.385	0.2575	24	Stand_3	156
179	06/06/19 12:51:17 AM	2019-06-06	12:51:17	AM	14.194	0.2575	24	Stand_3	157
180	06/06/19 01:51:17 AM	2019-06-06	01:51:17	AM	14.002	0.2571	24	Stand_3	157
181	06/06/19 02:51:17 AM	2019-06-06	02:51:17	AM	13.81	0.2571	24	Stand_3	157
182	06/06/19 03:51:17 AM	2019-06-06	03:51:17	AM	13.666	0.2571	24	Stand_3	157
183	06/06/19 04:51:17 AM	2019-06-06	04:51:17	AM	13.522	0.2567	24	Stand_3	157
184	06/06/19 05:51:17 AM	2019-06-06	05:51:17	AM	13.377	0.2571	24	Stand_3	157
185	06/06/19 06:51:17 AM	2019-06-06	06:51:17	AM	13.233	0.2571	24	Stand_3	157
186	06/06/19 07:51:17 AM	2019-06-06	07:51:17	AM	13.185	0.2571	24	Stand_3	157
187	06/06/19 08:51:17 AM	2019-06-06	08:51:17	AM	13.209	0.2567	24	Stand_3	157
188	06/06/19 09:51:17 AM	2019-06-06	09:51:17	AM	13.353	0.2567	24	Stand_3	157
189	06/06/19 10:51:17 AM	2019-06-06	10:51:17	AM	13.666	0.256	24	Stand_3	157
190	06/06/19 11:51:17 AM	2019-06-06	11:51:17	AM	14.218	0.2564	24	Stand_3	157
191	06/06/19 12:51:17 PM	2019-06-06	12:51:17	PM	14.601	0.2564	24	Stand_3	157
192	06/06/19 01:51:17 PM	2019-06-06	01:51:17	PM	15.294	0.2564	24	Stand_3	157
193	06/06/19 02:51:17 PM	2019-06-06	02:51:17	PM	16.249	0.2564	24	Stand_3	157
194	06/06/19 03:51:17 PM	2019-06-06	03:51:17	PM	16.368	0.2564	24	Stand_3	157
195	06/06/19 04:51:17 PM	2019-06-06	04:51:17	PM	16.296	0.256	24	Stand_3	157
196	06/06/19 05:51:17 PM	2019-06-06	05:51:17	PM	16.296	0.2564	24	Stand_3	157
197	06/06/19 06:51:17 PM	2019-06-06	06:51:17	PM	16.153	0.2564	24	Stand_3	157
198	06/06/19 07:51:17 PM	2019-06-06	07:51:17	PM	15.986	0.2564	24	Stand_3	157
199	06/06/19 08:51:17 PM	2019-06-06	08:51:17	PM	15.819	0.256	24	Stand_3	157
200	06/06/19 09:51:17 PM	2019-06-06	09:51:17	PM	15.581	0.2553	24	Stand_3	157
201	06/06/19 10:51:17 PM	2019-06-06	10:51:17	PM	15.27	0.255	24	Stand_3	157
202	06/06/19 11:51:17 PM	2019-06-06	11:51:17	PM	14.96	0.255	24	Stand_3	157
203	06/07/19 12:51:17 AM	2019-06-07	12:51:17	AM	14.649	0.255	24	Stand_3	158
204	06/07/19 01:51:17 AM	2019-06-07	01:51:17	AM	14.385	0.2553	24	Stand_3	158
205	06/07/19 02:51:17 AM	2019-06-07	02:51:17	AM	14.122	0.2553	24	Stand_3	158
206	06/07/19 03:51:17 AM	2019-06-07	03:51:17	AM	13.906	0.2553	24	Stand_3	158
207	06/07/19 04:51:17 AM	2019-06-07	04:51:17	AM	13.714	0.2557	24	Stand_3	158
208	06/07/19 05:51:17 AM	2019-06-07	05:51:17	AM	13.497	0.2546	24	Stand_3	158
209	06/07/19 06:51:17 AM	2019-06-07	06:51:17	AM	13.281	0.255	24	Stand_3	158
210	06/07/19 07:51:17 AM	2019-06-07	07:51:17	AM	13.112	0.255	24	Stand_3	158
211	06/07/19 08:51:17 AM	2019-06-07	08:51:17	AM	13.137	0.255	24	Stand_3	158
212	06/07/19 09:51:17 AM	2019-06-07	09:51:17	AM	13.353	0.2542	24	Stand_3	158
213	06/07/19 10:51:17 AM	2019-06-07	10:51:17	AM	13.762	0.2538	24	Stand_3	158
214	06/07/19 11:51:17 AM	2019-06-07	11:51:17	AM	14.481	0.2532	24	Stand_3	158
215	06/07/19 12:51:17 PM	2019-06-07	12:51:17	PM	14.96	0.2524	24	Stand_3	158
216	06/07/19 01:51:17 PM	2019-06-07	01:51:17	PM	15.772	0.2516	24	Stand_3	158
217	06/07/19 02:51:17 PM	2019-06-07	02:51:17	PM	16.82	0.2512	24	Stand_3	158
218	06/07/19 03:51:17 PM	2019-06-07	03:51:17	PM	17.058	0.2509	24	Stand_3	158
219	06/07/19 04:51:17 PM	2019-06-07	04:51:17	PM	17.082	0.2505	24	Stand_3	158
220	06/07/19 05:51:17 PM	2019-06-07	05:51:17	PM	17.201	0.2502	24	Stand_3	158
221	06/07/19 06:51:17 PM	2019-06-07	06:51:17	PM	17.153	0.2502	24	Stand_3	158
222	06/07/19 07:51:17 PM	2019-06-07	07:51:17	PM	17.13	0.2494	24	Stand_3	158
223	06/07/19 08:51:17 PM	2019-06-07	08:51:17	PM	17.034	0.249	24	Stand_3	158
224	06/07/19 09:51:17 PM	2019-06-07	09:51:17	PM	16.868	0.249	24	Stand_3	158
225	06/07/19 10:51:17 PM	2019-06-07	10:51:17	PM	16.654	0.2483	24	Stand_3	158
226	06/07/19 11:51:17 PM	2019-06-07	11:51:17	PM	16.392	0.2479	24	Stand_3	158
227	06/08/19 12:51:17 AM	2019-06-08	12:51:17	AM	16.153	0.2475	24	Stand_3	159
228	06/08/19 01:51:17 AM	2019-06-08	01:51:17	AM	15.915	0.2471	24	Stand_3	159
229	06/08/19 02:51:17 AM	2019-06-08	02:51:17	AM	15.676	0.2471	24	Stand_3	159
230	06/08/19 03:51:17 AM	2019-06-08	03:51:17	AM	15.414	0.2471	24	Stand_3	159
231	06/08/19 04:51:17 AM	2019-06-08	04:51:17	AM	15.175	0.2468	24	Stand_3	159
232	06/08/19 05:51:17 AM	2019-06-08	05:51:17	AM	14.912	0.2475	24	Stand_3	159
233	06/08/19 06:51:17 AM	2019-06-08	06:51:17	AM	14.673	0.2475	24	Stand_3	159
234	06/08/19 07:51:17 AM	2019-06-08	07:51:17	AM	14.481	0.2475	24	Stand_3	159
235	06/08/19 08:51:17 AM	2019-06-08	08:51:17	AM	14.433	0.2471	24	Stand_3	159
236	06/08/19 09:51:17 AM	2019-06-08	09:51:17	AM	14.577	0.2471	24	Stand_3	159
237	06/08/19 10:51:17 AM	2019-06-08	10:51:17	AM	14.912	0.2464	24	Stand_3	159
238	06/08/19 11:51:17 AM	2019-06-08	11:51:17	AM	15.533	0.2452	24	Stand_3	159
239	06/08/19 12:51:17 PM	2019-06-08	12:51:17	PM	15.963	0.246	24	Stand_3	159
240	06/08/19 01:51:17 PM	2019-06-08	01:51:17	PM	16.677	0.2456	24	Stand_3	159
241	06/08/19 02:51:17 PM	2019-06-08	02:51:17	PM	17.582	0.2452	24	Stand_3	159
242	06/08/19 03:51:17 PM	2019-06-08	03:51:17	PM	17.819	0.2445	24	Stand_3	159
243	06/08/19 04:51:17 PM	2019-06-08	04:51:17	PM	17.867	0.2445	24	Stand_3	159
244	06/08/19 05:51:17 PM	2019-06-08	05:51:17	PM	17.867	0.2441	24	Stand_3	159
245	06/08/19 06:51:17 PM	2019-06-08	06:51:17	PM	17.796	0.2437	24	Stand_3	159
246	06/08/19 07:51:17 PM	2019-06-08	07:51:17	PM	17.701	0.2441	24	Stand_3	159
247	06/08/19 08:51:17 PM	2019-06-08	08:51:17	PM	17.558	0.243	24	Stand_3	159
248	06/08/19 09:51:17 PM	2019-06-08	09:51:17	PM	17.368	0.2437	24	Stand_3	159
249	06/08/19 10:51:17 PM	2019-06-08	10:51:17	PM	17.13	0.2434	24	Stand_3	159
250	06/08/19 11:51:17 PM	2019-06-08	11:51:17	PM	16.868	0.243	24	Stand_3	159
251	06/09/19 12:51:17 AM	2019-06-09	12:51:17	AM	16.63	0.2421	24	Stand_3	160
252	06/09/19 01:51:17 AM	2019-06-09	01:51:17	AM	16.344	0.2414	24	Stand_3	160
253	06/09/19 02:51:17 AM	2019-06-09	02:51:17	AM	16.129	0.241	24	Stand_3	160
254	06/09/19 03:51:17 AM	2019-06-09	03:51:17	AM	15.915	0.241	24	Stand_3	160
255	06/09/19 04:51:17 AM	2019-06-09	04:51:17	AM	15.724	0.241	24	Stand_3	160
256	06/09/19 05:51:17 AM	2019-06-09	05:51:17	AM	15.533	0.2406	24	Stand_3	160
257	06/09/19 06:51:17 AM	2019-06-09	06:51:17	AM	15.39	0.2406	24	Stand_3	160
258	06/09/19 07:51:17 AM	2019-06-09	07:51:17	AM	15.247	0.2403	24	Stand_3	160
259	06/09/19 08:51:17 AM	2019-06-09	08:51:17	AM	15.247	0.2403	24	Stand_3	160
260	06/09/19 09:51:17 AM	2019-06-09	09:51:17	AM	15.342	0.2394	24	Stand_3	160
261	06/09/19 10:51:17 AM	2019-06-09	10:51:17	AM	15.414	0.239	24	Stand_3	160
262	06/09/19 11:51:17 AM	2019-06-09	11:51:17	AM	15.533	0.2383	24	Stand_3	160
263	06/09/19 12:51:17 PM	2019-06-09	12:51:17	PM	15.7	0.2383	24	Stand_3	160
264	06/09/19 01:51:17 PM	2019-06-09	01:51:17	PM	15.772	0.2379	24	Stand_3	160
265	06/09/19 02:51:17 PM	2019-06-09	02:51:17	PM	15.915	0.2414	24	Stand_3	160
266	06/09/19 03:51:17 PM	2019-06-09	03:51:17	PM	16.01	0.255	24	Stand_3	160
267	06/09/19 04:51:17 PM	2019-06-09	04:51:17	PM	16.082	0.2624	24	Stand_3	160
268	06/09/19 05:51:17 PM	2019-06-09	05:51:17	PM	16.106	0.2664	24	Stand_3	160
269	06/09/19 06:51:17 PM	2019-06-09	06:51:17	PM	16.201	0.2874	24	Stand_3	160
270	06/09/19 07:51:17 PM	2019-06-09	07:51:17	PM	16.272	0.2874	24	Stand_3	160
271	06/09/19 08:51:17 PM	2019-06-09	08:51:17	PM	16.225	0.2853	24	Stand_3	160
272	06/09/19 09:51:17 PM	2019-06-09	09:51:17	PM	16.201	0.284	24	Stand_3	160
273	06/09/19 10:51:17 PM	2019-06-09	10:51:17	PM	16.201	0.2908	24	Stand_3	160
274	06/09/19 11:51:17 PM	2019-06-09	11:51:17	PM	16.153	0.2887	24	Stand_3	160
275	06/10/19 12:51:17 AM	2019-06-10	12:51:17	AM	16.129	0.2911	24	Stand_3	161
276	06/10/19 01:51:17 AM	2019-06-10	01:51:17	AM	16.106	0.2922	24	Stand_3	161
277	06/10/19 02:51:17 AM	2019-06-10	02:51:17	AM	16.01	0.2919	24	Stand_3	161
