KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	NUTRITIONAL.MODE	DECAY	NOTES	REFERENCES	GENUS.PERC	TROPHIC.MODE_funguild	GUILD_funguild	CONF_funguild	FORM_funguild	TRAIT_funguild	NOTES_funguild	CITATION_funguild
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Ectomycorrhizal	Putatively non-ligninolytic	No PODs	Miyauchi et al. 2020	1.58115563	Pathotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite	Highly Probable	Agaricoid	NULL	"Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp."	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Ectomycorrhizal				1.46036049	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Ectomycorrhizal	Putatively non-ligninolytic 	One POD (Miyauchi et al. 2020) but non-ligninolytic based on phylogeny of PODs	Miyauchi et al. 2020; Kohler et al. 2015; Floudas et al. 2012 Nagy	1.29008998	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Craterellus	Ectomycorrhizal	Putatively non-ligninolytic 	No PODs	Nagy et al. 2016	1.26287233	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Ectomycorrhizal	Putatively non-ligninolytic 	No PODs	Miyauchi et al. 2020	1.25125781	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	Putatively mycorrhizal				1.09744809	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Symbiotroph	Highly Probable	Agaricoid	NULL	"Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Lodge J. et al. 2014. Fungal Diversity 64:1-99; Lodge J. 2014. Omphalina 5:2-6; Seitzman BH, et al. 2011. Mycologia 103:280-290.}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	Ectomycorrhizal	Putatively ligninolytic	1 POD	Bšdeker et al. 2009	0.91410608	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Pathogenic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.77794547	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018	0.77227255	Pathotroph-Saprotroph	Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Probable	Agaricoid	NULL	NULL	"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Scabropezia	Ectomycorrhizal	Putatively non-ligninolytic 	Based on phylogeny of PODs	Floudas; Nagy	0.76740561	Symbiotroph	Ectomycorrhizal	Possible	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (ECM)}"
Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Mycorrhizal	Putatively non-ligninolytic 	No PODs	Miyauchi et al. 2020; Nagy et al. 2016; Kohler et al. 2015	0.74210993	Symbiotroph	Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph	Possible	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Saprotrophic				0.68675496	Saprotroph	Undefined Saprotroph	Probable	Clavarioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Pathogenic	Non-ligninolytic			0.57004144	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx}
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Ectomycorrhizal	Putatively ligninolytic	Has one POD	Miyauchi et al. 2020; Kohler et al. 2015	0.56148555	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Ramaria	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018	0.52442035	Symbiotroph	Ectomycorrhizal	Possible	Clavarioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM);Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html (ECM)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Saprotrophic	Non-ligninolytic		Entwistle et al. 2018	0.52218838	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph	Possible	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/(not ECM)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Saprotrophic				0.49369974	Saprotroph	Undefined Saprotroph	Probable	Clavarioid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Geoglossum	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.4836042	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Ectomycorrhizal	Putatively non-ligninolytic	No PODs	Miyauchi et al. 2020	0.44899831	Symbiotroph	Ectomycorrhizal	Highly Probable	Hydnoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Membranomyces	Ectomycorrhizal	Putatively non-ligninolytic	No PODs		0.44613601	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263}"
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.40665285	Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Highly Probable	NULL	"Mold, Soft Rot"	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Byssocorticium	Ectomycorrhizal				0.36747968	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Protoglossum	Ectomycorrhizal				0.34752626	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Pseudotricholoma	NA				0.34217366	NA	NA	NA	NA	NA	NA	NA
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Pachyphloeus	Ectomycorrhizal	Putatively non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.30959308	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Ectomycorrhizal	Putatively ligninolytic	Has PODs	Miyauchi et al. 2020	0.29022866	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Putatively mycorrhizal				0.28639504	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Biotroph	Probable	NULL	NULL	"previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Tedersoo L, et al. 2014. Science 346:1256688;Lodge et al. 2014. Fungal Diversity 64:1-99; Lodge 2014. Omphalina 5:2-6; Seitzman et al. 2011. Mycologia 103:280-290.}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cuphophyllus	Saprotrophic				0.27227988	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Symbiotroph	Highly Probable	Agaricoid	NULL	"Previously classified as Hygrocybe; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Lodge J. et al. 2014. Fungal Diversity 64:1-99; Lodge J. 2014. Omphalina 5:2-6; Seitzman BH, et al. 2011. Mycologia 103:280-290.}"
Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Trichoglossum	Saprotrophic				0.26901459	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Saprotrophic				0.25628409	Saprotroph	Undefined Saprotroph	Probable	Microfungus	NULL	NULL	De Hoog GS. 1974. Studies in Mycology 7:1-84}
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saprotrophic	Non-ligninolytic	Common soil yeast		0.25122082	NA	NA	NA	NA	NA	NA	NA
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	Ectomycorrhizal				0.24743886	Symbiotroph	Ectomycorrhizal	Highly Probable	Gasteroid	Hypogeous	Common name - false truffle	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Glutinoglossum	Saprotrophic				0.24520689	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Saprotrophic	Non-ligninolytic	Yeast	Floudas; Nagy	0.24091861	Saprotroph	Undefined Saprotroph	Probable	Facultative Yeast	NULL	NULL	"James TY, et al. 2006. Nature 443:818-822}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Rhodocollybia	Saprotrophic				0.23064741	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Saprotrophic or mycorrhizal				0.22703079	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph	Possible	Pezizoid	NULL	"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte)}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genea	Ectomycorrhizal	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.22256685	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Saprotrophic	Non-ligninolytic		Nagy et al. 2016	0.20897868	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Epiphyt-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	NULL	Cause of soft-rot (Seehann et al. 1975)	"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73:228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Agrocybe	Saprotrophic	White-rot or ligninolytic litter decay	Soil saprotroph; has atypical MnPs	See mycocosm	0.19340655	Saprotroph	Dung Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Saprotrophic				0.18807462	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.18535698	Saprotroph	Soil Saprotroph	Possible	Microfungus	NULL	From forest soil (Calduch et al. 2002)	"Calduch M, et al. 2002. Mycologia 94:355-361}"
Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Ericoid mycorrhizal	Non-ligninolytic		Martino et al. 2018	0.1811927	Pathotroph-Symbiotroph	Ericoid Mycorrhizal	Probable	Dark Septate Endophyte	NULL	NULL	Newsham 2011. New Phytologist 190:783-793 (as DSE)}
Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018	0.18085171	Saprotroph	Wood Saprotroph	Highly Probable	Corticioid	White Rot	NULL	"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 Uncertain.; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (not ECM).}"
Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Ectomycorrhizal	Putatively non-ligninolytic		Nagy et al. 2016; Miyauchi et al. 2020	0.16778021	Symbiotroph	Ectomycorrhizal	Highly Probable	Gasteroid	NULL	Common name - puffball	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Pachyphlodes	NA				0.14516083	NA	NA	NA	NA	NA	NA	NA
Fungi	Ascomycota	Leotiomycetes	Helotiales	sedis	Leohumicola	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.1369666	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Saprotrophic	White-rot or ligninolytic litter decay			0.1342903	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Saprotrophic or pathogenic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.13249232	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	Facultative Yeast	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688, Nagy GL, et al. 2014. Nature Communications 5:4471}"
Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Arbuscular mycorrhizal	Non-ligninolytic		Smith and Read 2008	0.131304	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	NULL	NULL	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hymenogaster	Ectomycorrhizal	Uncertain			0.11326223	Symbiotroph	Ectomycorrhizal	Possible	Gasteroid	Hypogeous	Common name - false truffle	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/(not ECM)}"
Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.10399335	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018; Nagy	0.10385902	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
