KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	NUTRITIONAL.MODE	DECAY	NOTES	REFERENCES	GENUS.PERC	TROPHIC.MODE_funguild	GUILD_funguild	CONF_funguild	FORM_funguild	TRAIT_funguild	NOTES_funguild	CITATION_funguild
Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Mycorrhizal	Putatively non-ligninolytic 	No PODs	Miyauchi et al. 2020; Nagy et al. 2016; Kohler et al. 2015	0.807587929	Symbiotroph	Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph	Possible	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Ectomycorrhizal	Putatively ligninolytic	Has PODs	Miyauchi et al. 2020	0.693067693	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Saprotrophic	Non-ligninolytic	Common soil saprotroph; non-ligninolytic based on phylogeny		0.647226015	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)}"
Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.643867651	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Agrocybe	Saprotrophic	White-rot or ligninolytic litter decay	Soil saprotroph; has atypical MnPs	See mycocosm	0.603517887	Saprotroph	Dung Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Pathogenic				0.599339686	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Saprotrophic or mycorrhizal	Non-ligninolytic	Non-ligninolytic based on phylogeny of PODs	Floudas; Nagy	0.595497322	Saprotroph-Symbiotroph	Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph	Possible	Pezizoid	NULL	"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte)}"
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Saprotrophic	White-rot or ligninolytic litter decay			0.584602392	Saprotroph	Wood Saprotroph	Highly Probable	Polyporoid	White Rot	NULL	"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Ectomycorrhizal	Putatively ligninolytic	Has PODs	Bšdeker et al. 2009; Miyauchi et al. 2020	0.55562168	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.544677362	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Geastrales	Sphaerobolaceae	Sphaerobolus	Saprotrophic	White-rot or ligninolytic litter decay		Lots of genomic evidence	0.493926546	Saprotroph	Undefined Saprotroph	Probable	Gasteroid	White Rot	Common name - cannon ball fungus	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Byssocorticium	Ectomycorrhizal				0.45028756	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	Endophytic and saprotrophic				0.439135814	Symbiotroph	Endophyte	Highly Probable	NULL	NULL	"Dark Septate Endophyte, known from plant roots."	Newsham 2011. New Phytologist 190:783-793 (as DSE)}
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Ectomycorrhizal	Putatively non-ligninolytic 	No PODs	Miyauchi et al. 2020	0.425386274	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Saprotrophic				0.422669949	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Asterostroma	Saprotrophic	White-rot or ligninolytic litter decay			0.410125469	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Flagelloscypha	Saprotrophic				0.348785926	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Pseudoomphalina	Saprotrophic				0.340854259	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Saprotrophic				0.340271484	Saprotroph	Undefined Saprotroph	Probable	Clavarioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Porotheleaceae	Porotheleum					0.339609689	NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Ectomycorrhizal	Putatively non-ligninolytic		Nagy et al. 2016; Miyauchi et al. 2020	0.315775177	Symbiotroph	Ectomycorrhizal	Highly Probable	Gasteroid	NULL	Common name - puffball	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Humaria	Ectomycorrhizal	Putatively non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.290063932	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelopsis	Saprotrophic	White-rot or ligninolytic litter decay			0.277746636	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Geoglossum	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.262219138	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Leotiomycetes	Helotiales	sedis	Leptodontidium	Endophytic				0.258119958	Symbiotroph	Endophyte	Highly Probable	NULL	NULL	"Dark Septate Endophyte, known from plant roots."	"Jumpponen A, Trappe J. 1998. New Phytologist 140:295-310 (as DSE); Taylor DL, et al. 2014. Ecological Monographs 84:3-20.}"
Fungi	Basidiomycota	Agaricomycetes	sedis	sedis	Xenasmatella	Saprotrophic	White-rot or ligninolytic litter decay			0.249447475	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)}"
Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Saprotrophic	Non-ligninolytic	Yeast	Floudas; Nagy	0.244814907	Saprotroph	Undefined Saprotroph	Probable	Facultative Yeast	NULL	NULL	"James TY, et al. 2006. Nature 443:818-822}"
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Membranomyces	Ectomycorrhizal	Putatively non-ligninolytic	No PODs		0.241525685	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	Saprotrophic				0.222738598	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Steccherinum	Saprotrophic	White-rot or ligninolytic litter decay			0.219330846	Saprotroph	Undefined Saprotroph	Probable	Corticioid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Cephalotheca	Saprotrophic	Non-ligninolytic	Based on phylogeny of PODs	Floudas; Nagy	0.210500322	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx}
Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	Pathogenic				0.208880405	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Soil Saprotroph	Possible	NULL	NULL	"It is important to note that the majority of species that comprise this genus, including the White-Nose Bat Syndrome causing Pseudogymnoascus destructans, were once placed in the genus Geomyces (see Minnis & Lindner 2013),and including Pseudogymnoascus panorum (as Geomyces panorum) that had been widely applied to a number of isolates from cold places, including those found in soil, on living roots, hypersaline lakes, keratinaceous substrates, and skin lesions of animals (perhaps as a weak pathogen); however, the true identity of Geomyces panorum (now Pseudogymnoascus panorum) is not known (pers.Lindner DL)"	"Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649; Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycenella					0.20202539	NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cyphellaceae	Rectipilus	Saprotrophic				0.197096496	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelia	Saprotrophic or pathogenic				0.189816747	Pathotroph-Saprotroph-Symbiotroph	Epiphyte-Leaf Saprotroph-Lichen Parasite-Lichenized-Plant Pathogen-Wood Saprotroph	Possible	Corticioid-Thallus	NULL	Lichenized and non-lichenized taxa	"Adams GC, Kropp BR. 1996. Mycologia 88:459-472; Carisse O, et al. 2000. Biological Control 90:31-37; Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Saprotrophic	Non-ligninolytic		Entwistle et al. 2018	0.187811606	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph	Possible	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/(not ECM)}"
Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Saprotrophic	White-rot or ligninolytic litter decay			0.18767332	Saprotroph	Undefined Saprotroph	Probable	Corticioid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Arbuscular mycorrhizal				0.162376932	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	NULL	NULL	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531}"
Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	Saprotrophic or pathogenic				0.155788611	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Endophyte-Plant Pathogen-Wood Saprotroph	Possible	NULL	NULL	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645;  Jumpponen A, Trappe J. 1998. New Phytologist 140:295-310; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Kuehneromyces	Saprotrophic	White-rot or ligninolytic litter decay			0.145911068	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Putatively mycorrhizal		Check on this		0.121582679	Saprotroph-Symbiotroph	Undefined Saprotroph-Undefined Biotroph	Probable	Agaricoid	NULL	"Previously classified as Hygrophorus; carbon signature suggests biotrophy with bryophytes, grasses, or understory plants"	"Tedersoo L, et al. 2014. Science 346:1256688;Lodge et al. 2014. Fungal Diversity 64:1-99; Lodge 2014. Omphalina 5:2-6; Seitzman et al. 2011. Mycologia 103:280-290.}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Ectomycorrhizal				0.118115661	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Sensu stricto (Matheny 2009).	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Matheny PB. 2009. McIlvainea 18:11-21; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Saprotrophic	White-rot or ligninolytic litter decay		Entwistle et al. 2018; AEM	0.114520235	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Undefined Saprotroph	Probable	Agaricoid	NULL	"Often one of the most prominent fungal components of tropical forests, playing a major role in nutrient cycling (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; David AS, et al. 2016. Microbial Ecology 71:912-926}"
Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hortiboletus	Ectomycorrhizal	Putatively non-ligninolytic	Boletales = brown rot; check if actually mycorrhizal	"Floudas; Nagy; kohler, Riley, Miyauchi"	0.113157134	NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	Saprotrophic	Likely not white-rot or ligninolytic litter decay			0.11277191	Saprotroph	Undefined Saprotroph	Probable	Corticioid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Glutinoglossum	Saprotrophic	Non-ligninolytic	Non-ligninolytic based on phylogeny of PODs	Floudas; Nagy	0.107615833	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
